session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,cluster
304,1768.445156,33,2,1,0,34,7595.44,7595.44,58.6,230.16484848484848,3797.72,3797.72,34,0
305,1159.217917,24,2,1,0,25,7595.44,7595.44,58.6,316.47666666666663,3797.72,3797.72,25,0
306,2808.904316,113,1,0,0,113,7595.44,7595.44,58.6,67.21628318584071,7595.44,7595.44,113,1
307,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
308,80.272301,17,5,7,4,28,7595.44,7595.44,58.6,446.7905882352941,1519.088,949.43,28,0
309,3041.252665,171,14,30,27,228,7595.44,7595.44,58.6,44.41777777777777,542.5314285714286,245.01419354838708,228,1
310,44.023432,6,2,1,1,8,7595.44,7595.44,58.6,1265.9066666666663,3797.72,3797.72,8,2
311,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
312,45.102901,2,2,1,1,4,7595.44,7595.44,58.6,3797.72,3797.72,3797.72,4,2
313,10.615342,7,2,3,3,13,7595.44,7595.44,58.6,1085.0628571428572,3797.72,1898.86,13,2
314,31.744917,7,2,1,1,9,7595.44,7595.44,58.6,1085.0628571428572,3797.72,3797.72,9,2
315,26.08942,4,2,1,1,6,7595.44,7595.44,58.6,1898.86,3797.72,3797.72,6,2
316,5.499605,2,2,1,1,4,7595.44,7595.44,58.6,3797.72,3797.72,3797.72,4,2
317,439.278613,18,3,3,3,24,7595.439999999999,7595.44,58.6,421.9688888888888,2531.813333333333,1898.86,24,0
318,128.528711,11,2,1,1,13,7595.44,7595.44,58.6,690.4945454545455,3797.72,3797.72,13,2
319,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
320,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
321,61.072563,11,4,7,4,22,7595.44,7595.44,58.6,690.4945454545455,1898.86,949.43,22,0
322,12.413188,2,2,1,1,4,7595.44,7595.44,58.6,3797.72,3797.72,3797.72,4,2
323,843.618633,87,2,4,4,95,7595.439999999999,7595.44,58.6,87.303908045977,3797.7199999999993,1519.0879999999995,95,1
324,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
