timestamp,window_title,browser
2026-03-30 16:53:38.697720,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:53:43.705910,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:53:48.709873,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:53:53.723848,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:53:58.732233,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:54:03.739796,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:54:08.747135,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:54:13.760082,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:54:18.768603,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:54:23.772835,RAM_Analyser – run_pipeline.py,unknown
