session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,anomaly_score,is_anomaly
209,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
210,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
211,0.840852,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.009846057093789894,False
212,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
213,3.415414,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.009692863319512792,False
214,3239.055433,25,3,7,7,39,7595.44,7595.44,58.6,303.8176,2531.813333333333,949.43,39,0.41130089569608247,False
215,109.275468,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.004883871938286483,False
216,91.046238,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.005504650522972053,False
217,2900.19973,31,4,6,6,43,7595.44,7595.44,58.6,245.01419354838708,1898.86,1085.0628571428572,43,0.17097838720461866,False
218,4.112404,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,0.004645758676937131,False
219,1412.364229,6,3,3,2,11,7595.44,7595.44,58.6,1265.9066666666663,2531.813333333333,1898.86,11,0.20533408711992335,False
220,394.895564,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.00642147269957278,False
221,2009.473661,15,4,9,6,30,7595.44,7595.44,58.6,506.36266666666666,1898.86,759.544,30,0.36558303248827945,False
222,0.818464,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.009847390310396633,False
223,1323.33693,4,1,0,0,4,7595.44,7595.44,58.6,1898.86,7595.44,7595.44,4,0.2663720046343353,False
224,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
225,45.170734,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,0.004748744343322571,False
226,2.878301,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,0.004649110779702421,False
227,7.865232,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.009432146568647553,False
228,74.275277,2,2,1,1,4,7595.44,7595.44,58.6,3797.72,3797.72,3797.72,4,0.03237754884674563,False
229,1589.116021,20,4,4,3,27,7595.44,7595.44,58.6,379.772,1898.86,1519.088,27,0.13875819587067115,False
230,1825.215527,19,4,8,7,34,7595.44,7595.44,58.6,399.76,1898.86,843.9377777777777,34,0.21944931726322717,False
231,57.426178,5,3,3,3,11,7595.44,7595.44,58.6,1519.088,2531.813333333333,1898.86,11,0.09962080224360845,False
232,146.167425,24,7,14,2,40,7595.44,7595.44,58.6,316.47666666666663,1085.0628571428572,506.36266666666666,40,1.432735837557652,True
233,63.050283,5,4,4,4,13,7595.44,7595.44,58.6,1519.088,1898.86,1519.088,13,0.26264681546158253,False
234,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
235,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
236,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
237,191.409185,15,3,3,1,19,7595.44,7595.44,58.6,506.36266666666666,2531.813333333333,1898.86,19,0.03760987628969527,False
238,41.529598,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,0.004722778954926835,False
239,1.777806,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.009790105967976347,False
240,31.557,3,2,2,2,7,7595.44,7595.44,58.6,2531.813333333333,3797.72,2531.813333333333,7,0.03841211025406536,False
241,87.561648,9,4,3,2,14,7595.439999999999,7595.44,58.6,843.9377777777777,1898.86,1898.86,14,0.20069958930133483,False
242,17.8995,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.008863103063309381,False
243,621.14428,6,3,3,3,12,7595.44,7595.44,58.6,1265.9066666666663,2531.813333333333,1898.86,12,0.11247754086018762,False
244,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
245,1.236415,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.009822407024375335,False
246,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
247,196.864361,9,5,7,7,23,7595.439999999999,7595.44,58.6,843.9377777777777,1519.0879999999995,949.4299999999998,23,0.5290827471905682,False
248,724.564414,6,3,3,3,12,7595.44,7595.44,58.6,1265.9066666666663,2531.813333333333,1898.86,12,0.12378482661838885,False
249,1993.150644,14,6,6,5,25,7595.44,7595.44,58.6,542.5314285714286,1265.9066666666663,1085.0628571428572,25,0.5451724441149348,False
250,684.288444,2,2,1,1,4,7595.44,7595.44,58.6,3797.72,3797.72,3797.72,4,0.036754553497381486,False
251,418.113424,22,2,2,2,26,7595.44,7595.44,58.6,345.2472727272728,3797.72,2531.813333333333,26,0.035304279669726206,False
252,1734.438325,13,3,3,3,19,7595.44,7595.44,58.60000000000001,584.2646153846155,2531.813333333333,1898.86,19,0.21876515656181553,False
253,1046.300331,9,1,0,0,9,7595.439999999999,7595.44,58.6,843.9377777777777,7595.439999999999,7595.439999999999,9,0.21911810866160614,False
254,1212.574294,12,4,4,2,18,7595.44,7595.44,58.6,632.9533333333333,1898.86,1519.088,18,0.21396504471197725,False
255,72.319939,2,2,1,1,4,7595.44,7595.44,58.6,3797.72,3797.72,3797.72,4,0.03251231380982055,False
256,69.365992,5,3,3,3,11,7595.44,7595.44,58.6,1519.088,2531.813333333333,1898.86,11,0.09937108499229762,False
257,0.442487,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.009869913860193745,False
258,71.252875,4,1,0,0,4,7595.44,7595.44,58.6,1898.86,7595.44,7595.44,4,0.01343922473706524,False
259,367.345835,6,3,5,5,16,7595.44,7595.44,58.6,1265.9066666666663,2531.813333333333,1265.9066666666663,16,0.16605367128192577,False
260,583.295683,21,2,3,3,27,7595.44,7595.44,58.60000000000001,361.687619047619,3797.72,1898.86,27,0.03568170360463606,False
261,72.681427,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.006217267035878833,False
262,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
263,2.767991,3,2,2,2,7,7595.44,7595.44,58.6,2531.813333333333,3797.72,2531.813333333333,7,0.03951839520115761,False
264,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
265,0.351061,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.00987539715645813,False
266,429.859522,2,2,1,1,4,7595.44,7595.44,58.6,3797.72,3797.72,3797.72,4,0.024370349476369357,False
267,232.900195,4,2,2,2,8,7595.44,7595.44,58.6,1898.86,3797.72,2531.813333333333,8,0.034744607145598405,False
268,5.453967,4,1,0,0,4,7595.44,7595.44,58.6,1898.86,7595.44,7595.44,4,0.01134937955255034,False
269,8.522759,4,2,1,1,6,7595.44,7595.44,58.6,1898.86,3797.72,3797.72,6,0.015928692956853025,False
270,2093.622404,10,3,4,2,16,7595.44,7595.44,58.6,759.544,2531.813333333333,1519.088,16,0.28709151710648323,False
271,713.926028,4,1,0,0,4,7595.44,7595.44,58.6,1898.86,7595.44,7595.44,4,0.09280794616575726,False
272,1403.240421,18,3,2,2,22,7595.439999999999,7595.44,58.6,421.9688888888888,2531.813333333333,2531.813333333333,22,0.15172163258448484,False
273,1.493689,3,2,2,2,7,7595.44,7595.44,58.6,2531.813333333333,3797.72,2531.813333333333,7,0.03957228220193874,False
