session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,efficiency_score,ram_efficiency,high_ram_usage,cluster,cluster_label
513,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0,Casual Browsing
514,275.895339,9,4,5,4,11,6982.07,6982.07,42.8,775.7855555555556,1745.5175,1163.6783333333333,18,0.039870191500408,0.0015754640099569,True,0,Casual Browsing
515,87.161635,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,0.0344188128182772,0.0004296720027155,True,0,Casual Browsing
516,1.64519,4,2,2,2,6,6982.07,6982.07,42.8,1745.5175,3491.035,2327.3566666666666,8,3.646995179888037,0.000859344005431,True,0,Casual Browsing
517,674.989222,6,2,2,0,7,6982.07,6982.07,42.79999999999999,1163.6783333333333,3491.035,2327.3566666666666,8,0.010370535960943,0.0010025680063362,True,0,Casual Browsing
518,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0,Casual Browsing
487,1.0,2,1,1,2,4,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,5,4.0,0.0005728960036207,True,0,Casual Browsing
488,600.376497,16,3,6,5,18,6982.07,6982.07,42.8,436.379375,2327.3566666666666,997.4385714285714,27,0.0299811869550916,0.0025780320162931,True,0,Casual Browsing
489,1.0,1,1,0,0,1,6982.07,6982.07,42.8,6982.07,6982.07,6982.07,1,1.0,0.0001432240009051,True,0,Casual Browsing
490,323.393778,4,1,1,1,6,6982.07,6982.07,42.8,1745.5175,6982.07,3491.035,6,0.0185532326475372,0.000859344005431,True,0,Casual Browsing
491,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0,Casual Browsing
29,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0,Casual Browsing
493,160.351396,4,2,2,2,6,6982.07,6982.07,42.8,1745.5175,3491.035,2327.3566666666666,8,0.0374178220437819,0.000859344005431,True,0,Casual Browsing
494,1.0,1,1,1,1,3,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,3,3.0,0.0004296720027155,True,0,Casual Browsing
527,1.0,2,1,1,1,4,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,4,4.0,0.0005728960036207,True,0,Casual Browsing
528,1.0,2,1,1,2,4,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,5,4.0,0.0005728960036207,True,0,Casual Browsing
529,22.635698,3,1,1,1,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,6982.07,3491.035,5,0.2208900295453667,0.0007161200045258,True,0,Casual Browsing
530,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0,Casual Browsing
531,1432.82331,31,2,4,3,33,6982.07,6982.07,42.8,225.22806451612905,3491.035,1396.414,38,0.0230314511005547,0.0047263920298707,True,0,Casual Browsing
532,988.215665,24,8,9,8,26,6982.07,6982.07,42.79999999999999,290.9195833333333,872.75875,698.207,41,0.0263100464006508,0.0037238240235345,True,0,Casual Browsing
533,756.589745,4,1,1,2,6,6982.07,6982.07,42.8,1745.5175,6982.07,3491.035,7,0.0079303216038171,0.000859344005431,True,0,Casual Browsing
534,63.117754,14,4,7,2,16,6982.07,6982.07,42.8,498.7192857142857,1745.5175,872.75875,23,0.2534944446850881,0.0022915840144828,True,0,Casual Browsing
503,63.579198,4,2,2,0,5,6982.07,6982.07,42.8,1745.5175,3491.035,2327.3566666666666,6,0.0786420740947377,0.0007161200045258,True,0,Casual Browsing
504,79.289314,7,2,3,2,9,6982.07,6982.07,42.8,997.4385714285714,3491.035,1745.5175,12,0.1135083600294486,0.0012890160081465,True,0,Casual Browsing
505,1.0,1,1,0,1,2,6982.07,6982.07,42.8,6982.07,6982.07,6982.07,2,2.0,0.0002864480018103,True,0,Casual Browsing
506,34.499666,3,1,1,1,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,6982.07,3491.035,5,0.1449289393120501,0.0007161200045258,True,0,Casual Browsing
507,114.977036,3,2,2,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,5,0.0347895557161518,0.0005728960036207,True,0,Casual Browsing
508,1.0,6,2,3,0,7,6982.07,6982.07,42.79999999999999,1163.6783333333333,3491.035,1745.5175,9,7.0,0.0010025680063362,True,0,Casual Browsing
509,2.133439,3,2,2,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,5,1.8749071335060437,0.0005728960036207,True,0,Casual Browsing
694,340.959554,3,2,2,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,5,0.0117315967629403,0.0005728960036207,True,0,Casual Browsing
543,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0,Casual Browsing
