session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,efficiency_score,ram_efficiency,high_ram_usage,anomaly_score,is_anomaly
46,9.49925,8,1,1,0,9,6982.07,6982.07,42.8,872.75875,6982.07,3491.035,9,0.947443219201516,0.0012890160081465,True,0.016544152209517778,False
47,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0.0004470827423434602,False
48,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0.0004470827423434602,False
49,1.0,1,1,0,0,1,6982.07,6982.07,42.8,6982.07,6982.07,6982.07,1,1.0,0.0001432240009051,True,0.0005355187794550065,False
50,204.875296,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,0.0146430538897183,0.0004296720027155,True,0.005250456743766168,False
51,1.0,1,1,0,0,1,6982.07,6982.07,42.8,6982.07,6982.07,6982.07,1,1.0,0.0001432240009051,True,0.0005355187794550065,False
52,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0.0004470827423434602,False
53,2354.532182,51,7,18,9,53,6982.07,6982.07,42.8,136.90333333333334,997.4385714285714,367.47736842105263,78,0.0225097793970182,0.0075908720479743,True,0.055569441779079444,False
54,3161.458832,61,9,17,5,63,6982.07,6982.07,42.8,114.46016393442622,775.7855555555556,387.8927777777778,83,0.0199275092126203,0.009023112057026,True,0.162314999573769,False
23,740.337724,5,2,2,0,6,6982.07,6982.07,42.8,1396.414,3491.035,2327.3566666666666,7,0.0081044093870866,0.000859344005431,True,0.02356135975749509,False
24,1.0,1,1,0,0,1,6982.07,6982.07,42.8,6982.07,6982.07,6982.07,1,1.0,0.0001432240009051,True,0.0005355187794550065,False
25,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0.0004470827423434602,False
26,345.051663,6,1,0,0,6,6982.07,6982.07,42.79999999999999,1163.6783333333333,6982.07,6982.07,6,0.0173887004277385,0.000859344005431,True,0.01743391572430053,False
