session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,efficiency_score,ram_efficiency,high_ram_usage
49,1.0,1,1,0,0,1,6982.07,6982.07,42.8,6982.07,6982.07,6982.07,1,1.0,0.00014322400090517568,True
50,204.875296,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,0.01464305388971836,0.00042967200271552705,True
51,1.0,1,1,0,0,1,6982.07,6982.07,42.8,6982.07,6982.07,6982.07,1,1.0,0.00014322400090517568,True
52,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.00028644800181035137,True
53,2354.532182,51,7,18,9,53,6982.07,6982.07,42.8,136.90333333333334,997.4385714285714,367.47736842105263,78,0.022509779397018242,0.007590872047974311,True
54,3161.458832,61,9,17,5,63,6982.07,6982.07,42.8,114.46016393442622,775.7855555555556,387.8927777777778,83,0.019927509212620362,0.00902311205702607,True
23,740.337724,5,2,2,0,6,6982.07,6982.07,42.8,1396.414,3491.035,2327.3566666666666,7,0.008104409387086698,0.0008593440054310541,True
24,1.0,1,1,0,0,1,6982.07,6982.07,42.8,6982.07,6982.07,6982.07,1,1.0,0.00014322400090517568,True
25,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.00028644800181035137,True
26,345.051663,6,1,0,0,6,6982.07,6982.07,42.79999999999999,1163.6783333333333,6982.07,6982.07,6,0.017388700427738556,0.0008593440054310541,True
27,1.0,1,1,1,1,3,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,3,3.0,0.00042967200271552705,True
28,1.0,1,1,1,1,3,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,3,3.0,0.00042967200271552705,True
60,43.717691,3,2,3,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,1745.5175,6,0.09149614054411062,0.0005728960036207027,True
61,6.790525,3,1,1,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,6982.07,3491.035,4,0.5890560744566878,0.0005728960036207027,True
62,265.448735,8,3,3,0,9,6982.07,6982.07,42.8,872.75875,2327.3566666666666,1745.5175,11,0.03390485172212254,0.0012890160081465813,True
63,22.319508,4,2,2,0,5,6982.07,6982.07,42.8,1745.5175,3491.035,2327.3566666666666,6,0.22401927497684987,0.0007161200045258785,True
