session_id,session_duration,pages_visited,domain_switches,category_switches,complexity,engagement,dominant_category
319,1.0,3,1,1,7,medium,search
320,1.0,1,0,0,1,low,other
321,3041.252665,90,36,27,216,high,other
322,333.638728,22,12,11,68,high,search
323,2472.637169,58,7,5,82,high,learning
324,1.0,1,0,0,1,low,other
325,2241.635786,31,9,6,61,high,search
326,1.0,1,0,0,1,low,search
327,2915.721937,41,19,12,103,high,other
328,10.615342,9,3,3,21,high,search
329,152.649179,15,4,3,29,high,search
330,489.808977,4,2,1,10,medium,other
331,381.729627,5,2,1,11,medium,other
332,830.560504,20,8,3,42,high,search
333,771.947315,5,2,2,13,medium,search
334,31.744917,7,1,1,11,medium,other
335,59.633803,4,2,2,12,medium,other
336,11.738035,3,1,1,7,medium,search
337,1632.547083,43,11,6,77,high,other
338,11.34698,4,1,1,8,medium,other
339,1.0,2,0,0,2,low,search
340,13.807162,2,1,0,4,low,other
341,26.08942,4,1,1,8,medium,search
342,5.499605,2,1,1,6,medium,other
343,161.202983,8,1,1,12,medium,search
344,2546.768225,84,47,32,242,high,search
345,1203.320106,17,12,12,65,high,search
346,3871.072106,45,23,19,129,high,search
347,148.400593,5,1,1,9,medium,search
348,987.122825,13,3,3,25,high,other
349,22.683676,4,2,1,10,medium,other
350,1.0,1,0,0,1,low,other
351,1.0,1,0,0,1,low,other
352,61.072563,11,7,0,25,high,other
353,354.408821,8,3,3,20,high,search
354,641.688365,27,13,9,71,high,other
355,1.0,1,0,0,1,low,search
356,1.0,1,0,0,1,low,search
357,2450.787453,76,47,32,234,high,other
358,4067.785733,212,31,23,320,high,entertainment
359,31.494589,2,0,0,2,low,entertainment
360,12.413188,2,1,1,6,medium,other
361,843.618633,48,5,4,66,high,search
362,1.0,1,0,0,1,low,other
363,13.11044,5,1,1,9,medium,other
364,1.0,1,0,0,1,low,other
365,149.86615,6,4,1,16,high,search
366,290.64397,9,1,1,13,medium,search
367,2033.702662,22,9,9,58,high,other
368,1093.463136,24,12,7,62,high,other
369,2767.68044,43,12,8,83,high,search
370,1549.93043,21,6,4,41,high,other
371,1010.477819,8,1,1,12,medium,other
372,3706.105199,46,13,9,90,high,search
373,604.389088,9,6,0,21,high,search
374,1.0,3,1,1,7,medium,search
375,3527.175451,39,20,12,103,high,search
376,150.235338,6,4,4,22,high,search
377,1.0,1,0,0,1,low,entertainment
378,1.0,1,0,0,1,low,entertainment
379,3253.771802,105,61,35,297,high,search
380,1.0,2,0,0,2,low,search
381,1.0,1,0,0,1,low,other
382,2220.77937,31,21,12,97,high,search
383,216.586069,7,2,1,13,medium,entertainment
384,5040.67021,25,9,8,59,high,entertainment
385,1584.656296,103,5,5,123,high,entertainment
386,2482.205314,26,22,6,82,high,other
387,1317.249992,43,8,7,73,high,entertainment
388,297.456893,3,1,1,7,medium,entertainment
389,164.386759,8,4,1,18,high,other
390,1963.611995,22,8,5,48,high,search
391,3607.916876,135,21,13,203,high,entertainment
392,914.904985,77,0,0,77,high,entertainment
393,1069.830986,21,12,9,63,high,search
394,1.0,1,0,0,1,low,other
395,2251.966893,21,7,6,47,high,other
396,1192.366333,9,1,1,13,medium,search
397,1.0,1,0,0,1,low,other
398,1.0,1,0,0,1,low,other
399,1.223651,2,0,0,2,low,other
400,3.555119,3,2,2,11,medium,search
401,313.290137,2,0,0,2,low,search
402,325.348604,23,16,13,81,high,search
403,1557.732242,89,39,29,225,high,search
404,1223.701199,13,6,3,31,high,other
405,805.980484,30,8,6,58,high,search
406,586.69271,12,2,2,20,high,search
407,497.946409,6,5,2,20,high,other
408,1363.665078,11,3,0,17,high,search
409,1.0,2,0,0,2,low,other
410,5070.007897,94,44,28,238,high,search
411,361.556062,4,1,1,8,medium,entertainment
412,201.332263,3,2,1,9,medium,other
413,3081.523304,65,19,14,131,high,other
414,1188.090423,7,4,3,21,high,search
415,1.217058,2,0,0,2,low,other
416,4156.699442,83,34,31,213,high,search
417,172.632248,16,8,6,44,high,other
418,1.0,1,0,0,1,low,other
419,659.039557,15,11,5,47,high,other
420,1604.530837,60,30,26,172,high,other
421,3872.862568,210,110,84,598,high,other
422,12.896684,3,1,1,7,medium,other
423,26.548473,4,2,0,8,medium,other
424,1074.20528,8,6,1,22,high,other
425,1284.208503,18,7,4,40,high,other
426,2242.342259,26,16,12,82,high,search
427,6964.515433,105,45,30,255,high,other
428,672.505414,8,4,4,24,high,other
429,149.61153,3,0,0,3,low,other
430,775.20572,5,1,0,7,medium,other
431,1.0,1,0,0,1,low,search
432,7.973668,4,1,1,8,medium,other
433,118.437105,2,0,0,2,low,other
434,1737.509954,40,4,4,56,high,other
435,782.74373,29,15,11,81,high,search
436,37.662114,16,10,8,52,high,search
437,20.623732,7,3,1,15,high,other
438,892.846059,19,4,1,29,high,search
439,478.442701,14,1,0,16,high,search
440,1.0,2,0,0,2,low,search
441,924.479174,30,9,7,62,high,search
442,128.28922,4,2,0,8,medium,other
443,1.0,1,0,0,1,low,other
444,826.284725,41,12,6,77,high,work
445,308.133535,9,2,0,13,medium,work
446,1.0,2,0,0,2,low,search
447,46.173305,7,3,1,15,high,other
448,3592.255854,46,18,11,104,high,search
449,1212.501276,20,4,4,36,high,search
450,869.051875,10,3,2,20,high,search
451,3.817732,2,0,0,2,low,search
452,102.908361,2,0,0,2,low,other
453,895.636977,6,1,1,10,medium,other
454,1.0,1,0,0,1,low,other
455,3782.586023,79,22,11,145,high,other
456,724.514273,36,21,16,110,high,other
457,1.0,2,0,0,2,low,search
458,89.070798,23,14,11,73,high,search
459,1.0,2,0,0,2,low,other
460,1.0,3,2,0,7,medium,other
461,450.807986,13,0,0,13,medium,search
462,20.881157,2,0,0,2,low,other
463,689.888333,61,7,2,79,high,search
464,560.248875,15,9,7,47,high,other
465,450.134298,8,0,0,8,medium,search
466,3135.438701,21,10,8,57,high,search
467,453.698623,4,0,0,4,low,shopping
468,424.697423,9,3,3,21,high,search
469,1.0,2,0,0,2,low,search
470,1867.992504,54,30,19,152,high,search
471,900.05498,15,4,1,25,high,search
472,1149.8164,25,9,8,59,high,search
473,27.615953,11,3,3,23,high,search
474,164.883694,3,1,0,5,medium,other
475,1.0,3,1,1,7,medium,search
476,274.775099,5,1,1,9,medium,entertainment
477,26.028307,2,1,1,6,medium,entertainment
478,49.285504,19,13,10,65,high,search
479,1112.848867,13,5,3,29,high,other
480,1.0,1,0,0,1,low,other
481,1.0,2,0,0,2,low,search
482,49.847476,2,0,0,2,low,learning
483,261.922174,5,2,2,13,medium,learning
484,502.579597,30,12,7,68,high,other
485,197.826397,9,2,2,17,high,entertainment
486,1.421804,2,0,0,2,low,search
487,131.682559,29,14,9,75,high,other
488,1.0,1,0,0,1,low,search
489,2828.736332,40,15,10,90,high,search
490,595.069719,6,3,2,16,high,other
491,845.811672,6,3,1,14,medium,other
492,227.557682,11,2,2,19,high,search
493,1249.536309,11,2,2,19,high,search
494,1.0,1,0,0,1,low,other
495,83.723168,14,4,3,28,high,search
496,207.522633,3,1,0,5,medium,other
497,632.4264,12,4,3,26,high,search
498,233.995861,3,1,1,7,medium,search
499,534.416082,12,7,3,32,high,search
500,280.213723,11,5,3,27,high,other
501,1.0,1,0,0,1,low,other
502,83.283107,8,3,0,14,medium,other
503,390.831929,23,10,5,53,high,search
504,265.351445,4,0,0,4,low,search
505,178.141863,16,7,7,44,high,search
506,29.815638,11,1,1,15,high,search
507,1.0,2,0,0,2,low,search
508,600.376497,16,5,4,34,high,other
509,1.0,1,0,0,1,low,other
510,323.393778,4,0,0,4,low,other
511,1.0,1,0,0,1,low,search
512,117.078192,13,5,5,33,high,search
513,160.351396,4,2,2,12,medium,other
514,1.0,1,0,0,1,low,other
515,3.752422,3,1,1,7,medium,search
516,94.401676,5,1,1,9,medium,other
517,480.764592,5,2,2,13,medium,search
518,8.627193,3,1,1,7,medium,search
519,2581.685232,57,32,19,159,high,search
520,57.74837,25,11,7,61,high,other
521,206.268128,2,1,1,6,medium,other
522,1.0,1,0,0,1,low,other
523,63.579198,4,1,1,8,medium,entertainment
524,79.289314,7,2,2,15,high,entertainment
