Country,Female_Obesity,Male_Obesity
Tonga,39.05610675,34.104454045454546
Trinidad and Tobago,17.79479585,19.911607772727272
Tunisia,13.854039618181817,10.717606311363637
Turkmenistan,6.615501134090909,6.392336793181818
Tuvalu,33.89661888636363,34.00778240909091
Türkiye,16.564548375,13.259233184090908
Uganda,3.1826218772727275,3.1549516886363635
Ukraine,9.906997537954545,9.630202263636363
United Arab Emirates,21.061891954545455,23.620391295454546
United Kingdom,14.569252479545453,15.364762590909093
United States,24.48195018181818,25.989694931818182
Upper Middle Income,10.078778288636364,11.98506869090909
Uruguay,18.26134765,19.120021261363636
Uzbekistan,10.106930786363636,8.979847934090909
Vanuatu,9.830855981818182,14.01675120909091
"Venezuela, Bolivarian Republic of",14.49781620681818,15.475004113636363
Viet Nam,2.511583924772727,5.5292209136363635
Western Pacific Region,5.833031568181818,10.243733795454546
Yemen,8.49238415,8.85850925
Zambia,5.592313538636364,3.441511525
Zimbabwe,5.611687195454546,2.347178485681818
