Country,Child_Malnutrition,Adult_Malnutrition
High Income,2.160417781818182,2.808072978787879
Honduras,2.3991061656565655,3.0720755333333334
Hungary,2.6550014737373737,1.7974633703030305
Iceland,1.8622575515151514,1.679674135757576
India,23.462900727272725,18.180740272727274
Indonesia,9.559738193939394,10.80084325151515
"Iran, Islamic Republic of",9.638809322222222,4.431511657575758
Iraq,3.6466363585858588,3.270957227272727
Ireland,1.1903158175757576,1.0269712515151517
Israel,2.896789080808081,3.326453633333333
Italy,1.671020006060606,1.843640042121212
Jamaica,1.9606090269696972,4.331285133333334
Japan,2.2077333424242425,8.735347096969697
Jordan,3.811476963636364,3.119951106060606
Kazakhstan,4.247716396969697,3.2342793151515155
Kenya,8.10119238989899,12.115901657575757
Kiribati,0.9748128831313131,0.716267536969697
"Korea, Democratic People's Republic of",9.200689468686868,11.037345824242424
"Korea, Republic of",1.7902873505050505,4.110149403030303
Kuwait,3.1615507343434346,0.9552725475757576
Kyrgyzstan,3.40624757979798,3.530169018181818
Lao People's Democratic Republic,6.377584145454546,9.559597948484848
Latvia,1.8264149595959596,2.0391468606060603
Lebanon,2.2133113262626263,2.3214456454545456
Lesotho,4.994709867676768,7.322153784848484
Liberia,5.836747229292929,6.391557557575757
Libya,4.762119146464646,4.3711538787878785
Lithuania,2.484192104040404,1.406557657878788
Low & Middle Income,16.115511626262627,13.807164878787878
Low Income,9.69970958989899,15.041710636363637
Luxembourg,1.7130474303030303,1.8397108221212122
Madagascar,7.304650826262626,18.030487606060603
Malawi,3.031404478787879,8.231196006060607
Malaysia,8.06319341010101,6.465956493939394
Maldives,13.621717296969697,8.995541109090908
Mali,9.967193397979798,9.746631227272728
Malta,1.9380693565656566,1.4216726084848486
Marshall Islands,2.3644329956565655,1.7056960666666665
Mauritania,10.014485853535353,9.22782784848485
Mauritius,9.26684857979798,5.978349351515151
Mexico,1.9456420707070705,1.5437445242424241
"Micronesia, Federated States of",0.8955254089898991,2.0264691121212124
"Moldova, Republic of",3.0469549060606065,1.9407637363636363
Mongolia,3.2252962414141413,3.1080658878787877
Montenegro,1.957293401010101,1.8467124054545454
Morocco,4.13628962020202,5.609525524242424
Mozambique,3.9092478343434345,10.485662975757576
Myanmar,11.539071857575758,16.226136696969697
Namibia,9.948646514141414,14.265903696969698
Nauru,0.8061926750505051,0.3504636293939394
Nepal,12.009066914141414,12.857579178787878
Netherlands,1.3271431673737373,1.3981239042424243
New Zealand,0.8815150767676767,1.2609585590909091
Nicaragua,2.0176445165656562,3.017565721212121
Niger,15.364572454545456,18.46052906060606
Nigeria,12.661299840404041,9.572847415151516
Niue,0.7484807406060606,0.6561902545454545
North Macedonia,4.062797531313131,2.408999045454545
Norway,1.289873477979798,1.2176132796969696
Oman,7.129759956565656,5.15394426060606
Pakistan,17.858172838383837,10.920474418181819
Palau,1.9706159569696968,1.1935834672727275
"Palestine, State of",3.8418298010101006,2.8666081181818184
Panama,2.0303005292929295,2.5367377878787876
Papua New Guinea,1.991464994949495,3.1388212272727274
Paraguay,2.186110163636364,2.767193493939394
Peru,1.2376502426262626,1.1984245503030302
Philippines,9.765738813131314,10.96361453939394
Poland,2.830660811111111,1.9104603221212122
Portugal,1.4803165802020202,1.4631029881818183
Puerto Rico,3.8163485575757576,2.581565887878788
Qatar,5.694121147474747,2.3511193
Romania,4.844065595959596,2.446363309090909
Russian Federation,3.4141059141414143,2.6012680515151514
Rwanda,5.720437733333333,8.756326424242424
Saint Kitts and Nevis,3.4461864585858586,2.8039169454545454
Saint Lucia,3.739488928282828,4.018067
Saint Vincent and the Grenadines,3.2143598252525254,4.012780327272727
Samoa,1.001519835151515,0.38671469242424245
Sao Tome and Principe,4.498193211111111,6.429811118181818
Saudi Arabia,10.138066,4.001980954545455
Senegal,16.088537656565656,19.007889272727272
Serbia,2.1659257949494948,2.7076782606060608
Seychelles,6.105555941414141,4.140269490909091
Sierra Leone,4.265234526262627,8.337836351515152
Singapore,3.0153184444444445,6.614092242424242
Slovakia,3.16829807979798,2.044465385757576
Slovenia,1.7449920353535353,1.6244219345454547
Solomon Islands,1.884414254040404,2.1080287545454546
Somalia,7.049290063636364,18.982549545454546
South Africa,3.742030177777778,5.551042248484848
South Sudan,6.802436677777777,16.965929181818183
South-East Asia Region,20.191114444444445,16.38226924242424
