Country,Avg_Obesity,Avg_Malnutrition
Egypt,24.093186204545454,2.7112712884848484
El Salvador,14.928336025,2.6740175674242423
Equatorial Guinea,6.729667867424242,8.345204468181818
Eritrea,2.7705596740909093,17.472507727272724
Estonia,13.169376724242424,1.7453893449242426
Eswatini,9.90897575,3.709939321969697
Ethiopia,1.491994376287879,17.392327732575758
Europe,11.8537265,2.5455751439393937
Fiji,14.739755301515151,5.242824367424243
Finland,12.953594373484847,1.4543702566666667
France,6.494720323484849,3.097550777272727
French Polynesia,29.195151386363634,1.4681913442424241
Gabon,7.240712262121212,6.1308137439393935
Gambia,5.190885410606061,10.64836150530303
Georgia,14.717705836363637,2.6814287371212124
Germany,12.196964178030303,1.4767605103030303
Ghana,7.007421800757577,7.906667287121212
Global,8.690332030303031,9.756864840909092
Greece,17.709465347727274,1.271354716060606
Greenland,10.273250583333333,1.4579595626515152
Grenada,19.163855393939397,4.178379674242424
Guatemala,10.630865584090909,1.8088264270454546
Guinea,3.5947850704545457,8.544542373484848
Guinea-Bissau,4.453436842424242,8.121971976515152
Guyana,14.318013624242425,7.5702814583333335
Haiti,9.872373575757576,6.412056388636364
High Income,16.08957525,2.322331581060606
Honduras,14.430265628030304,2.5673485075757574
Hungary,17.725119022727274,2.440616947878788
Iceland,11.177751443181819,1.8166116975757576
India,3.4297812462121215,22.142360613636363
Indonesia,8.023251593181818,9.870014458333333
"Iran, Islamic Republic of",13.316815951515153,8.336984906060605
Iraq,20.50950875757576,3.5527165757575756
Ireland,13.50644351439394,1.149479676060606
Israel,12.250897612878788,3.004205218939394
Italy,13.869975567424243,1.7141750150757575
Jamaica,16.79787301060606,2.553278053560606
Japan,4.000331884848485,3.8396367810606065
Jordan,20.096461084090908,3.6385954992424243
Kazakhstan,8.29611243560606,3.994357126515152
Kenya,4.083090715909091,9.104869706818182
Kiribati,22.370064418939393,0.9101765465909091
"Korea, Democratic People's Republic of",7.662208356818182,9.659853557575758
"Korea, Republic of",9.861955066666667,2.3702528636363636
Kuwait,26.14468878787879,2.609981187651515
Kyrgyzstan,7.330251017651515,3.4372279393939396
Lao People's Democratic Republic,5.500022859848485,7.173087596212121
Latvia,11.801073534848484,1.8795979348484848
Lebanon,19.084664571212123,2.240344906060606
Lesotho,6.98796901439394,5.576570846969697
Liberia,6.696345024242424,5.975449811363636
Libya,18.11207681060606,4.6643778295454545
Lithuania,12.581622042424243,2.2147834924999996
Low & Middle Income,5.631029851515152,15.53842493939394
Low Income,4.38129745,11.035209851515152
Luxembourg,9.943839721969697,1.7447132782575758
Madagascar,1.9841098104545454,9.986110021212122
Malawi,2.3913238714393943,4.331352360606061
Malaysia,15.319990058333335,7.663884181060606
Maldives,10.777779150757576,12.46517325
Mali,5.366043258333334,9.912052855303031
Malta,18.01117030151515,1.8089701695454545
Marshall Islands,22.398870838636363,2.199748763409091
Mauritania,9.149432090909091,9.817821352272727
Mauritius,11.914119722727273,8.444723772727272
Mexico,20.062567818181815,1.845167684090909
"Micronesia, Federated States of",23.337489259848486,1.1782613347727273
"Moldova, Republic of",9.545559156818182,2.7704071136363635
Mongolia,8.51248181287879,3.195988653030303
Montenegro,11.268158573484849,1.9296481521212119
Morocco,8.735401671212122,4.504598596212121
Mozambique,2.7722433606060606,5.553351619696969
Myanmar,6.009888726515151,12.710838067424243
Namibia,5.980742353787879,11.027960809848485
Nauru,38.512100499999995,0.6922604136363636
Nepal,2.4942547262878785,12.22119498030303
Netherlands,7.372133353787879,1.3448883515909091
New Zealand,20.379705431818184,0.9763759473484849
Nicaragua,15.622607565151517,2.2676248177272726
Niger,3.0807395503787878,16.138561606060605
Nigeria,4.467604346969697,11.88918673409091
Niue,40.664873,0.7254081190909092
North Macedonia,15.06492097727273,3.6493479098484847
Norway,8.982764896969696,1.271808428409091
